"sub","distBtwShapes","trial_number","cuedAR","uncuedAR","responseAR","rt","global_org","cued_ellipse","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","sameDirection1S0D","responseError","sameCatS1D0","identicalShapesI1D0","uncuedCatM1F0C1T"
293737,402,108,0.09266316,0.41698588,-0.00000048,2044,0,1,0,0,0,0.6,0,1,-0.09266364,1,0,1
293737,402,109,-0.13899593,0.32432225,-0.00000048,2029,0,1,0,0,0,0.6,0,1,0.13899545,0,0,1
293737,402,110,-0.00000048,0.4633177,0.18532679,1801,0,1,0,180,0,0.6,0,0,0.18532727,0,0,1
293737,402,111,0.4633177,0.23165861,-0.09266412,1352,1,2,180,0,0,0.8,0,0,-0.55598182,1,0,1
293737,402,112,-0.32432321,0.27799043,-0.0463323,1452,0,2,270,270,0,0.8,270,1,0.27799091,0,0,1
293737,402,113,-0.0463323,-0.46331866,-0.00000048,2048,0,2,0,0,0,0.6,0,1,0.04633182,1,0,-1
293737,402,114,-0.18532775,0.37065407,-0.00000048,1507,1,1,0,0,0,0.8,0,1,0.18532727,0,0,1
293737,402,115,0.18532679,0.13899498,-0.09266412,1343,1,2,270,270,0,0.8,270,1,-0.27799091,1,0,1
293737,402,116,0.37065407,-0.18532775,0.41698588,1850,1,2,270,270,0,0.6,270,1,0.04633181,0,0,-1
293737,402,117,-0.18532775,0.18532679,-0.09266412,1350,1,1,270,270,0,0.6,270,1,0.09266363,0,0,1
293737,402,118,-0.0463323,-0.18532775,0.04633134,1317,1,1,270,270,0,0.6,270,1,0.09266364,1,0,-1
293737,402,119,0.09266316,-0.00000048,0.18532679,1487,1,2,270,90,0,0.8,90,0,0.09266363,0,0,0
293737,402,119,0.09266316,-0.00000048,0.18532679,1487,1,2,270,90,0,0.8,90,0,0.09266363,0,0,0
293737,402,0,-0.13899593,-0.41698684,-0.00000048,1916,0,2,0,180,1,0.8,180,0,0.13899545,1,0,-1
293737,402,1,0.37065407,0.13899498,0.13899498,3173,0,2,0,0,1,0.6,0,1,-0.23165909,1,0,1
293737,402,2,0.32432225,0.27799043,0.13899498,1853,1,2,270,270,1,0.8,270,1,-0.18532727,1,0,1
293737,402,3,0.18532679,-0.09266412,-0.0463323,2107,0,1,0,0,1,0.8,0,1,-0.23165909,0,0,-1
293737,402,4,-0.27799139,0.04633134,0.09266316,1772,1,1,90,90,1,0.6,90,1,0.37065455,0,0,1
293737,402,5,0.32432225,-0.0463323,0.13899498,2440,0,1,0,180,1,0.6,0,0,-0.18532727,0,0,-1
293737,402,6,-0.41698684,0.32432225,-0.0463323,1765,0,2,0,180,1,0.8,180,0,0.37065454,0,0,1
293737,402,7,0.41698588,-0.09266412,0.13899498,1708,0,2,180,180,1,0.8,180,1,-0.2779909,0,0,-1
293737,402,8,-0.23165957,0.13899498,0.09266316,1679,0,1,180,0,1,0.8,180,0,0.32432273,0,0,1
293737,402,9,0.32432225,0.41698588,0.23165861,1799,1,2,90,90,1,0.6,90,1,-0.09266364,1,0,1
293737,402,10,-0.32432321,-0.09266412,0.27799043,1551,1,1,180,0,1,0.8,180,0,0.60231364,1,0,-1
293737,402,11,-0.09266412,0.09266316,0.04633134,1546,1,2,90,90,1,0.8,90,1,0.13899546,0,0,1
293737,402,12,0.13899498,-0.0463323,0.04633134,1711,0,1,90,270,1,0.6,90,0,-0.09266364,0,0,-1
293737,402,13,-0.27799139,0.37065407,0.41698588,1328,1,2,0,180,1,0.8,180,0,0.69497727,0,0,1
293737,402,14,0.41698588,0.41698588,0.50964952,1729,1,1,270,270,1,0.8,270,1,0.09266364,1,1,1
293737,402,15,0.32432225,-0.0463323,-0.00000048,1743,1,1,90,90,1,0.6,90,1,-0.32432273,0,0,-1
293737,402,16,-0.23165957,-0.0463323,0.13899498,1536,1,2,90,270,1,0.6,270,0,0.37065455,1,0,-1
293737,402,17,0.04633134,0.09266316,0.13899498,1271,0,1,0,180,1,0.8,0,0,0.09266364,1,0,1
293737,402,18,0.09266316,-0.27799139,-0.0463323,1774,1,2,270,270,1,0.8,270,1,-0.13899546,0,0,-1
293737,402,19,0.4633177,-0.00000048,0.09266316,1958,1,1,90,270,1,0.6,90,0,-0.37065454,0,0,0
293737,402,20,-0.32432321,-0.00000048,0.04633134,2226,1,2,270,270,1,0.6,270,1,0.37065455,0,0,0
293737,402,21,0.23165861,0.27799043,0.37065407,2195,1,2,0,180,1,0.6,180,0,0.13899546,1,0,1
293737,402,22,-0.0463323,-0.23165957,0.09266316,2072,0,1,270,90,1,0.6,270,0,0.13899546,1,0,-1
293737,402,23,0.27799043,0.32432225,0.04633134,2653,0,2,0,0,1,0.6,0,1,-0.23165909,1,0,1
293737,402,24,0.41698588,0.23165861,0.32432225,1817,0,2,270,270,1,0.6,270,1,-0.09266363,1,0,1
293737,402,25,-0.13899593,0.41698588,0.04633134,2033,0,1,180,0,1,0.6,180,0,0.18532727,0,0,1
293737,402,26,0.09266316,0.04633134,0.04633134,1818,1,2,270,90,1,0.6,90,0,-0.04633182,1,0,1
293737,402,27,0.41698588,-0.46331866,-0.0463323,2027,1,1,270,270,1,0.6,270,1,-0.46331818,0,0,-1
293737,402,28,0.04633134,-0.00000048,-0.0463323,1688,0,2,180,0,1,0.8,0,0,-0.09266364,0,0,0
293737,402,29,0.4633177,0.18532679,-0.0463323,1550,0,2,0,0,1,0.6,0,1,-0.50965,1,0,1
293737,402,30,-0.23165957,0.41698588,-0.18532775,2415,0,2,180,180,1,0.6,180,1,0.04633182,0,0,1
